,Buy-Lumber Jack,Buy-Gold Miner,Buy-Shepherd,Buy-Fur Trapper,Buy-Ship Builder,Buy-Czar Peter,Buy-Market,Buy-Customs House,Buy-Firehouse,Buy-Hospital,Buy-Library,Buy-Theater,Buy-Academy,Buy-Potjomkins Village,Buy-Pub,Buy-Warehouse,Buy-Observatory,Buy-Author,Buy-Administrator,Buy-Warehouse Manager,Buy-Secretary,Buy-Controller,Buy-Judge,Buy-Mistress of Ceremonies,Hold-Lumber Jack,Hold-Gold Miner,Hold-Shepherd,Hold-Fur Trapper,Hold-Ship Builder,Hold-Czar Peter,Hold-Market,Hold-Customs House,Hold-Firehouse,Hold-Hospital,Hold-Library,Hold-Theater,Hold-Academy,Hold-Potjomkins Village,Hold-Pub,Hold-Warehouse,Hold-Observatory,Hold-Author,Hold-Administrator,Hold-Warehouse Manager,Hold-Secretary,Hold-Controller,Hold-Judge,Hold-Mistress of Ceremonies,Hold-Carpenter Workshop,Hold-Gold Smelter,Hold-Weaving Mill,Hold-Fur Shop,Hold-Warf,Hold-Mariinskij Theater,Hold-Bank,Hold-Peterhof,Hold-St. Isaac Cathedral,Hold-Church of Jesus Christ,Hold-Harbor,Hold-Smolny Cathedral,Hold-Catherine the Great Palace,Hold-Hermitage,Hold-Winter Palace,Hold-Pope,Hold-Weapon Master,Hold-Chamber Maid,Hold-Builder,Hold-Senator,Hold-Patriarch,Hold-Tax Man,Hold-Admiral,Hold-Minister of Foreign Affairs,Hold-Czar,Upgrade-Carpenter Workshop-Lumber Jack,Upgrade-Carpenter Workshop-Czar Peter,Upgrade-Gold Smelter-Gold Miner,Upgrade-Gold Smelter-Czar Peter,Upgrade-Weaving Mill-Shepherd,Upgrade-Weaving Mill-Czar Peter,Upgrade-Fur Shop-Fur Trapper,Upgrade-Fur Shop-Czar Peter,Upgrade-Warf-Ship Builder,Upgrade-Warf-Czar Peter,Upgrade-Mariinskij Theater-Market,Upgrade-Mariinskij Theater-Customs House,Upgrade-Mariinskij Theater-Firehouse,Upgrade-Mariinskij Theater-Hospital,Upgrade-Mariinskij Theater-Library,Upgrade-Mariinskij Theater-Theater,Upgrade-Mariinskij Theater-Academy,Upgrade-Mariinskij Theater-Potjomkins Village,Upgrade-Mariinskij Theater-Pub,Upgrade-Mariinskij Theater-Warehouse,Upgrade-Mariinskij Theater-Observatory,Upgrade-Bank-Market,Upgrade-Bank-Customs House,Upgrade-Bank-Firehouse,Upgrade-Bank-Hospital,Upgrade-Bank-Library,Upgrade-Bank-Theater,Upgrade-Bank-Academy,Upgrade-Bank-Potjomkins Village,Upgrade-Bank-Pub,Upgrade-Bank-Warehouse,Upgrade-Bank-Observatory,Upgrade-Peterhof-Market,Upgrade-Peterhof-Customs House,Upgrade-Peterhof-Firehouse,Upgrade-Peterhof-Hospital,Upgrade-Peterhof-Library,Upgrade-Peterhof-Theater,Upgrade-Peterhof-Academy,Upgrade-Peterhof-Potjomkins Village,Upgrade-Peterhof-Pub,Upgrade-Peterhof-Warehouse,Upgrade-Peterhof-Observatory,Upgrade-St. Isaac Cathedral-Market,Upgrade-St. Isaac Cathedral-Customs House,Upgrade-St. Isaac Cathedral-Firehouse,Upgrade-St. Isaac Cathedral-Hospital,Upgrade-St. Isaac Cathedral-Library,Upgrade-St. Isaac Cathedral-Theater,Upgrade-St. Isaac Cathedral-Academy,Upgrade-St. Isaac Cathedral-Potjomkins Village,Upgrade-St. Isaac Cathedral-Pub,Upgrade-St. Isaac Cathedral-Warehouse,Upgrade-St. Isaac Cathedral-Observatory,Upgrade-Church of Jesus Christ-Market,Upgrade-Church of Jesus Christ-Customs House,Upgrade-Church of Jesus Christ-Firehouse,Upgrade-Church of Jesus Christ-Hospital,Upgrade-Church of Jesus Christ-Library,Upgrade-Church of Jesus Christ-Theater,Upgrade-Church of Jesus Christ-Academy,Upgrade-Church of Jesus Christ-Potjomkins Village,Upgrade-Church of Jesus Christ-Pub,Upgrade-Church of Jesus Christ-Warehouse,Upgrade-Church of Jesus Christ-Observatory,Upgrade-Harbor-Market,Upgrade-Harbor-Customs House,Upgrade-Harbor-Firehouse,Upgrade-Harbor-Hospital,Upgrade-Harbor-Library,Upgrade-Harbor-Theater,Upgrade-Harbor-Academy,Upgrade-Harbor-Potjomkins Village,Upgrade-Harbor-Pub,Upgrade-Harbor-Warehouse,Upgrade-Harbor-Observatory,Upgrade-Smolny Cathedral-Market,Upgrade-Smolny Cathedral-Customs House,Upgrade-Smolny Cathedral-Firehouse,Upgrade-Smolny Cathedral-Hospital,Upgrade-Smolny Cathedral-Library,Upgrade-Smolny Cathedral-Theater,Upgrade-Smolny Cathedral-Academy,Upgrade-Smolny Cathedral-Potjomkins Village,Upgrade-Smolny Cathedral-Pub,Upgrade-Smolny Cathedral-Warehouse,Upgrade-Smolny Cathedral-Observatory,Upgrade-Catherine the Great Palace-Market,Upgrade-Catherine the Great Palace-Customs House,Upgrade-Catherine the Great Palace-Firehouse,Upgrade-Catherine the Great Palace-Hospital,Upgrade-Catherine the Great Palace-Library,Upgrade-Catherine the Great Palace-Theater,Upgrade-Catherine the Great Palace-Academy,Upgrade-Catherine the Great Palace-Potjomkins Village,Upgrade-Catherine the Great Palace-Pub,Upgrade-Catherine the Great Palace-Warehouse,Upgrade-Catherine the Great Palace-Observatory,Upgrade-Hermitage-Market,Upgrade-Hermitage-Customs House,Upgrade-Hermitage-Firehouse,Upgrade-Hermitage-Hospital,Upgrade-Hermitage-Library,Upgrade-Hermitage-Theater,Upgrade-Hermitage-Academy,Upgrade-Hermitage-Potjomkins Village,Upgrade-Hermitage-Pub,Upgrade-Hermitage-Warehouse,Upgrade-Hermitage-Observatory,Upgrade-Winter Palace-Market,Upgrade-Winter Palace-Customs House,Upgrade-Winter Palace-Firehouse,Upgrade-Winter Palace-Hospital,Upgrade-Winter Palace-Library,Upgrade-Winter Palace-Theater,Upgrade-Winter Palace-Academy,Upgrade-Winter Palace-Potjomkins Village,Upgrade-Winter Palace-Pub,Upgrade-Winter Palace-Warehouse,Upgrade-Winter Palace-Observatory,Upgrade-Pope-Author,Upgrade-Pope-Administrator,Upgrade-Pope-Warehouse Manager,Upgrade-Pope-Secretary,Upgrade-Pope-Controller,Upgrade-Pope-Judge,Upgrade-Pope-Mistress of Ceremonies,Upgrade-Weapon Master-Author,Upgrade-Weapon Master-Administrator,Upgrade-Weapon Master-Warehouse Manager,Upgrade-Weapon Master-Secretary,Upgrade-Weapon Master-Controller,Upgrade-Weapon Master-Judge,Upgrade-Weapon Master-Mistress of Ceremonies,Upgrade-Chamber Maid-Author,Upgrade-Chamber Maid-Administrator,Upgrade-Chamber Maid-Warehouse Manager,Upgrade-Chamber Maid-Secretary,Upgrade-Chamber Maid-Controller,Upgrade-Chamber Maid-Judge,Upgrade-Chamber Maid-Mistress of Ceremonies,Upgrade-Builder-Author,Upgrade-Builder-Administrator,Upgrade-Builder-Warehouse Manager,Upgrade-Builder-Secretary,Upgrade-Builder-Controller,Upgrade-Builder-Judge,Upgrade-Builder-Mistress of Ceremonies,Upgrade-Senator-Author,Upgrade-Senator-Administrator,Upgrade-Senator-Warehouse Manager,Upgrade-Senator-Secretary,Upgrade-Senator-Controller,Upgrade-Senator-Judge,Upgrade-Senator-Mistress of Ceremonies,Upgrade-Patriarch-Author,Upgrade-Patriarch-Administrator,Upgrade-Patriarch-Warehouse Manager,Upgrade-Patriarch-Secretary,Upgrade-Patriarch-Controller,Upgrade-Patriarch-Judge,Upgrade-Patriarch-Mistress of Ceremonies,Upgrade-Tax Man-Author,Upgrade-Tax Man-Administrator,Upgrade-Tax Man-Warehouse Manager,Upgrade-Tax Man-Secretary,Upgrade-Tax Man-Controller,Upgrade-Tax Man-Judge,Upgrade-Tax Man-Mistress of Ceremonies,Upgrade-Admiral-Author,Upgrade-Admiral-Administrator,Upgrade-Admiral-Warehouse Manager,Upgrade-Admiral-Secretary,Upgrade-Admiral-Controller,Upgrade-Admiral-Judge,Upgrade-Admiral-Mistress of Ceremonies,Upgrade-Minister of Foreign Affairs-Author,Upgrade-Minister of Foreign Affairs-Administrator,Upgrade-Minister of Foreign Affairs-Warehouse Manager,Upgrade-Minister of Foreign Affairs-Secretary,Upgrade-Minister of Foreign Affairs-Controller,Upgrade-Minister of Foreign Affairs-Judge,Upgrade-Minister of Foreign Affairs-Mistress of Ceremonies,Upgrade-Czar-Author,Upgrade-Czar-Administrator,Upgrade-Czar-Warehouse Manager,Upgrade-Czar-Secretary,Upgrade-Czar-Controller,Upgrade-Czar-Judge,Upgrade-Czar-Mistress of Ceremonies,Observatory-Worker Card,Observatory-Building Card,Observatory-Aristocrat Card,Observatory-Trading Card,Use the Pub-0,Use the Pub-1,Use the Pub-2,Use the Pub-3,Use the Pub-4,Use the Pub-5,Pass
1W,92,62,61,0,0,61,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,64,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1B,46,92,100,94,7,7,0,0,0,0,0,5,0,0,0,0,2,7,10,10,10,10,10,10,18,10,20,7,10,14,0,0,0,2,3,0,4,7,7,8,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,4,9,0,0,0,0,0,10,10
1A,52,10,10,30,10,8,3,9,4,1,0,0,4,9,4,0,0,5,26,31,8,4,6,7,7,10,10,22,25,18,0,1,0,59,4,0,7,7,8,4,0,0,0,0,6,17,12,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1T,10,10,10,10,16,7,4,0,0,32,6,0,10,10,6,2,0,46,7,7,3,10,12,10,10,10,10,10,10,10,0,0,4,7,0,8,10,10,7,6,9,30,4,1,4,29,7,10,0,0,4,34,71,6,97,13,7,15,7,15,29,19,6,25,6,3,8,93,0,2,1,3,0,43,4,8,6,90,45,5,74,6,28,4,2,1,0,4,10,7,7,7,4,7,20,17,4,5,7,7,10,15,7,10,9,12,7,10,19,4,10,10,10,10,10,10,8,10,10,5,18,7,10,14,10,10,7,7,8,24,7,10,10,10,10,10,12,10,7,8,9,68,7,10,10,16,14,18,18,4,7,7,40,10,14,10,12,10,10,10,4,12,12,9,15,7,10,10,10,10,10,7,7,10,12,13,10,10,7,10,10,7,7,10,14,8,16,10,10,10,10,10,14,9,7,16,10,7,7,10,43,7,13,10,10,10,10,5,12,24,10,7,10,10,22,16,9,10,16,10,10,23,7,9,14,10,7,10,10,16,7,11,10,16,7,7,7,7,10,7,10,10,7,12,18,10,10,10,10,7,10,7,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2W,82,85,90,90,74,1,0,23,8,7,6,13,10,10,0,5,0,10,7,10,7,10,10,10,1,5,6,6,0,0,0,0,2,12,3,7,10,10,8,4,7,10,7,7,13,10,10,10,7,9,10,7,10,2,7,10,10,7,53,13,10,7,9,10,19,10,9,28,4,34,10,7,7,7,7,44,7,10,10,97,10,87,10,7,5,1,0,7,7,7,10,21,10,10,10,7,7,55,6,10,10,10,9,10,7,10,10,10,10,10,10,10,10,10,10,10,10,7,10,16,10,7,10,10,10,10,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,6,7,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,14,5,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2B,5,82,22,8,2,12,4,0,98,95,67,12,9,0,2,2,0,13,5,8,97,36,16,10,8,10,4,28,7,7,0,0,7,6,7,1,22,7,9,5,10,10,39,7,7,10,7,16,7,10,13,8,7,14,10,10,10,7,16,7,10,12,7,10,14,10,14,11,15,18,14,10,4,10,7,12,10,7,10,2,6,21,9,4,3,3,1,7,10,10,6,4,12,19,17,27,87,21,12,7,14,10,16,10,7,7,10,10,16,10,10,10,10,10,10,10,8,10,10,17,7,10,10,10,10,12,10,10,10,10,22,10,10,10,10,10,10,10,10,9,9,52,10,10,10,7,10,10,10,22,10,10,25,14,10,10,10,10,10,10,10,10,18,6,11,10,10,10,10,10,10,20,14,10,25,10,7,7,10,10,10,10,10,14,14,10,14,10,10,10,10,10,10,35,10,10,10,10,10,10,7,10,10,10,10,10,10,9,10,10,10,10,10,10,12,10,10,10,10,10,10,27,24,11,19,10,10,10,16,10,10,10,10,10,10,13,7,8,10,10,10,10,10,10,12,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,10
2A,85,10,10,8,43,15,8,5,10,10,10,10,10,2,4,3,8,69,93,100,35,14,7,10,7,10,10,10,9,7,8,29,20,9,14,68,7,9,7,8,9,75,41,56,70,97,84,4,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,53,12,29,10,7,7,1,3,4,10,10,10,12,10,10,16,10,10,10,14,10,10,10,16,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,30,14,10,10,10,10,7,18,10,10,10,10,10,10,10,10,10,10,10,10,7,12,10,14,10,10,10,21,11,16,10,10,10,10,10,10,10,10,10,10,10,7,10,10,10,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2T,8,10,19,9,4,9,80,1,10,10,10,10,10,7,0,0,6,28,4,34,7,10,10,10,10,10,10,10,16,10,10,10,10,4,10,10,10,10,10,10,8,4,7,18,13,4,20,43,41,22,12,16,12,2,6,91,26,26,33,49,7,22,4,29,15,27,17,9,54,62,26,84,19,0,7,9,17,100,7,80,43,94,4,18,4,0,0,7,10,10,13,10,10,7,17,10,1,4,7,7,10,10,10,10,10,10,14,32,7,7,7,10,10,10,10,10,10,12,23,72,7,10,10,10,10,10,10,10,7,10,23,7,10,10,16,10,10,10,10,10,7,40,10,10,10,10,10,10,10,10,10,10,26,15,20,10,10,10,10,14,10,10,14,14,15,7,10,10,10,10,10,10,16,16,7,8,7,10,10,10,10,10,10,10,10,7,9,7,7,10,10,10,10,98,1,4,10,10,10,10,34,94,24,14,10,10,10,55,9,14,25,10,10,10,40,5,6,19,10,10,10,33,4,73,16,12,10,10,10,10,13,16,10,10,10,10,10,16,16,10,7,10,10,10,11,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3W,91,84,66,58,13,10,7,7,10,10,10,10,10,6,4,15,7,9,7,10,10,10,10,10,24,15,14,83,41,19,10,10,10,10,10,10,10,10,7,10,10,14,6,10,10,12,10,7,10,10,12,38,10,10,10,10,7,10,7,16,10,10,10,10,10,10,10,10,10,7,20,10,13,78,7,6,10,18,8,14,10,10,10,10,6,4,1,7,7,10,10,10,10,10,10,16,7,7,10,10,10,10,10,10,10,10,10,7,23,14,10,10,10,10,10,10,10,10,15,10,7,10,10,10,10,10,10,10,10,7,31,7,10,10,10,10,10,10,10,10,10,60,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,8,10,7,10,10,10,10,10,10,10,10,9,7,12,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,29,21,7,10,10,10,10,16,10,16,10,10,10,10,10,27,10,10,10,10,10,10,20,23,10,10,10,10,10,10,7,10,18,10,10,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3B,0,8,47,7,7,6,2,49,50,100,25,34,10,4,6,1,0,48,18,34,84,100,31,34,1,31,50,82,48,21,3,15,82,6,6,7,37,35,7,7,7,14,19,1,21,18,7,9,10,10,30,6,71,27,9,9,9,27,6,29,7,8,16,18,10,4,12,7,28,6,7,58,37,20,7,8,9,0,10,76,7,27,4,14,4,7,1,4,7,10,7,7,18,7,7,8,11,7,7,14,10,13,12,10,7,18,15,24,11,12,11,10,10,10,16,14,28,7,30,9,10,10,10,10,10,10,14,12,26,19,4,10,10,10,12,10,10,10,7,10,22,29,18,16,10,10,10,10,10,12,7,25,66,9,10,10,10,10,10,10,26,7,20,44,10,14,10,10,10,10,10,20,16,13,24,10,7,10,10,10,10,9,10,16,36,7,16,10,10,10,10,10,7,9,19,8,10,9,10,10,9,7,9,24,12,10,10,13,14,7,10,7,10,10,7,16,19,7,18,10,10,31,44,45,25,30,10,12,58,26,7,9,24,10,10,21,8,14,32,7,7,10,10,18,38,10,10,10,10,10,10,10,16,16,10,16,16,10,10,10,10,10,10,0,0,0,0,0,0,0,0,1,10,10
