,Buy-Lumber Jack,Buy-Gold Miner,Buy-Shepherd,Buy-Fur Trapper,Buy-Ship Builder,Buy-Czar Peter,Buy-Market,Buy-Customs House,Buy-Firehouse,Buy-Hospital,Buy-Library,Buy-Theater,Buy-Academy,Buy-Potjomkins Village,Buy-Pub,Buy-Warehouse,Buy-Observatory,Buy-Author,Buy-Administrator,Buy-Warehouse Manager,Buy-Secretary,Buy-Controller,Buy-Judge,Buy-Mistress of Ceremonies,Hold-Lumber Jack,Hold-Gold Miner,Hold-Shepherd,Hold-Fur Trapper,Hold-Ship Builder,Hold-Czar Peter,Hold-Market,Hold-Customs House,Hold-Firehouse,Hold-Hospital,Hold-Library,Hold-Theater,Hold-Academy,Hold-Potjomkins Village,Hold-Pub,Hold-Warehouse,Hold-Observatory,Hold-Author,Hold-Administrator,Hold-Warehouse Manager,Hold-Secretary,Hold-Controller,Hold-Judge,Hold-Mistress of Ceremonies,Hold-Carpenter Workshop,Hold-Gold Smelter,Hold-Weaving Mill,Hold-Fur Shop,Hold-Warf,Hold-Mariinskij Theater,Hold-Bank,Hold-Peterhof,Hold-St. Isaac Cathedral,Hold-Church of Jesus Christ,Hold-Harbor,Hold-Smolny Cathedral,Hold-Catherine the Great Palace,Hold-Hermitage,Hold-Winter Palace,Hold-Pope,Hold-Weapon Master,Hold-Chamber Maid,Hold-Builder,Hold-Senator,Hold-Patriarch,Hold-Tax Man,Hold-Admiral,Hold-Minister of Foreign Affairs,Hold-Czar,Upgrade-Carpenter Workshop-Lumber Jack,Upgrade-Carpenter Workshop-Czar Peter,Upgrade-Gold Smelter-Gold Miner,Upgrade-Gold Smelter-Czar Peter,Upgrade-Weaving Mill-Shepherd,Upgrade-Weaving Mill-Czar Peter,Upgrade-Fur Shop-Fur Trapper,Upgrade-Fur Shop-Czar Peter,Upgrade-Warf-Ship Builder,Upgrade-Warf-Czar Peter,Upgrade-Mariinskij Theater-Market,Upgrade-Mariinskij Theater-Customs House,Upgrade-Mariinskij Theater-Firehouse,Upgrade-Mariinskij Theater-Hospital,Upgrade-Mariinskij Theater-Library,Upgrade-Mariinskij Theater-Theater,Upgrade-Mariinskij Theater-Academy,Upgrade-Mariinskij Theater-Potjomkins Village,Upgrade-Mariinskij Theater-Pub,Upgrade-Mariinskij Theater-Warehouse,Upgrade-Mariinskij Theater-Observatory,Upgrade-Bank-Market,Upgrade-Bank-Customs House,Upgrade-Bank-Firehouse,Upgrade-Bank-Hospital,Upgrade-Bank-Library,Upgrade-Bank-Theater,Upgrade-Bank-Academy,Upgrade-Bank-Potjomkins Village,Upgrade-Bank-Pub,Upgrade-Bank-Warehouse,Upgrade-Bank-Observatory,Upgrade-Peterhof-Market,Upgrade-Peterhof-Customs House,Upgrade-Peterhof-Firehouse,Upgrade-Peterhof-Hospital,Upgrade-Peterhof-Library,Upgrade-Peterhof-Theater,Upgrade-Peterhof-Academy,Upgrade-Peterhof-Potjomkins Village,Upgrade-Peterhof-Pub,Upgrade-Peterhof-Warehouse,Upgrade-Peterhof-Observatory,Upgrade-St. Isaac Cathedral-Market,Upgrade-St. Isaac Cathedral-Customs House,Upgrade-St. Isaac Cathedral-Firehouse,Upgrade-St. Isaac Cathedral-Hospital,Upgrade-St. Isaac Cathedral-Library,Upgrade-St. Isaac Cathedral-Theater,Upgrade-St. Isaac Cathedral-Academy,Upgrade-St. Isaac Cathedral-Potjomkins Village,Upgrade-St. Isaac Cathedral-Pub,Upgrade-St. Isaac Cathedral-Warehouse,Upgrade-St. Isaac Cathedral-Observatory,Upgrade-Church of Jesus Christ-Market,Upgrade-Church of Jesus Christ-Customs House,Upgrade-Church of Jesus Christ-Firehouse,Upgrade-Church of Jesus Christ-Hospital,Upgrade-Church of Jesus Christ-Library,Upgrade-Church of Jesus Christ-Theater,Upgrade-Church of Jesus Christ-Academy,Upgrade-Church of Jesus Christ-Potjomkins Village,Upgrade-Church of Jesus Christ-Pub,Upgrade-Church of Jesus Christ-Warehouse,Upgrade-Church of Jesus Christ-Observatory,Upgrade-Harbor-Market,Upgrade-Harbor-Customs House,Upgrade-Harbor-Firehouse,Upgrade-Harbor-Hospital,Upgrade-Harbor-Library,Upgrade-Harbor-Theater,Upgrade-Harbor-Academy,Upgrade-Harbor-Potjomkins Village,Upgrade-Harbor-Pub,Upgrade-Harbor-Warehouse,Upgrade-Harbor-Observatory,Upgrade-Smolny Cathedral-Market,Upgrade-Smolny Cathedral-Customs House,Upgrade-Smolny Cathedral-Firehouse,Upgrade-Smolny Cathedral-Hospital,Upgrade-Smolny Cathedral-Library,Upgrade-Smolny Cathedral-Theater,Upgrade-Smolny Cathedral-Academy,Upgrade-Smolny Cathedral-Potjomkins Village,Upgrade-Smolny Cathedral-Pub,Upgrade-Smolny Cathedral-Warehouse,Upgrade-Smolny Cathedral-Observatory,Upgrade-Catherine the Great Palace-Market,Upgrade-Catherine the Great Palace-Customs House,Upgrade-Catherine the Great Palace-Firehouse,Upgrade-Catherine the Great Palace-Hospital,Upgrade-Catherine the Great Palace-Library,Upgrade-Catherine the Great Palace-Theater,Upgrade-Catherine the Great Palace-Academy,Upgrade-Catherine the Great Palace-Potjomkins Village,Upgrade-Catherine the Great Palace-Pub,Upgrade-Catherine the Great Palace-Warehouse,Upgrade-Catherine the Great Palace-Observatory,Upgrade-Hermitage-Market,Upgrade-Hermitage-Customs House,Upgrade-Hermitage-Firehouse,Upgrade-Hermitage-Hospital,Upgrade-Hermitage-Library,Upgrade-Hermitage-Theater,Upgrade-Hermitage-Academy,Upgrade-Hermitage-Potjomkins Village,Upgrade-Hermitage-Pub,Upgrade-Hermitage-Warehouse,Upgrade-Hermitage-Observatory,Upgrade-Winter Palace-Market,Upgrade-Winter Palace-Customs House,Upgrade-Winter Palace-Firehouse,Upgrade-Winter Palace-Hospital,Upgrade-Winter Palace-Library,Upgrade-Winter Palace-Theater,Upgrade-Winter Palace-Academy,Upgrade-Winter Palace-Potjomkins Village,Upgrade-Winter Palace-Pub,Upgrade-Winter Palace-Warehouse,Upgrade-Winter Palace-Observatory,Upgrade-Pope-Author,Upgrade-Pope-Administrator,Upgrade-Pope-Warehouse Manager,Upgrade-Pope-Secretary,Upgrade-Pope-Controller,Upgrade-Pope-Judge,Upgrade-Pope-Mistress of Ceremonies,Upgrade-Weapon Master-Author,Upgrade-Weapon Master-Administrator,Upgrade-Weapon Master-Warehouse Manager,Upgrade-Weapon Master-Secretary,Upgrade-Weapon Master-Controller,Upgrade-Weapon Master-Judge,Upgrade-Weapon Master-Mistress of Ceremonies,Upgrade-Chamber Maid-Author,Upgrade-Chamber Maid-Administrator,Upgrade-Chamber Maid-Warehouse Manager,Upgrade-Chamber Maid-Secretary,Upgrade-Chamber Maid-Controller,Upgrade-Chamber Maid-Judge,Upgrade-Chamber Maid-Mistress of Ceremonies,Upgrade-Builder-Author,Upgrade-Builder-Administrator,Upgrade-Builder-Warehouse Manager,Upgrade-Builder-Secretary,Upgrade-Builder-Controller,Upgrade-Builder-Judge,Upgrade-Builder-Mistress of Ceremonies,Upgrade-Senator-Author,Upgrade-Senator-Administrator,Upgrade-Senator-Warehouse Manager,Upgrade-Senator-Secretary,Upgrade-Senator-Controller,Upgrade-Senator-Judge,Upgrade-Senator-Mistress of Ceremonies,Upgrade-Patriarch-Author,Upgrade-Patriarch-Administrator,Upgrade-Patriarch-Warehouse Manager,Upgrade-Patriarch-Secretary,Upgrade-Patriarch-Controller,Upgrade-Patriarch-Judge,Upgrade-Patriarch-Mistress of Ceremonies,Upgrade-Tax Man-Author,Upgrade-Tax Man-Administrator,Upgrade-Tax Man-Warehouse Manager,Upgrade-Tax Man-Secretary,Upgrade-Tax Man-Controller,Upgrade-Tax Man-Judge,Upgrade-Tax Man-Mistress of Ceremonies,Upgrade-Admiral-Author,Upgrade-Admiral-Administrator,Upgrade-Admiral-Warehouse Manager,Upgrade-Admiral-Secretary,Upgrade-Admiral-Controller,Upgrade-Admiral-Judge,Upgrade-Admiral-Mistress of Ceremonies,Upgrade-Minister of Foreign Affairs-Author,Upgrade-Minister of Foreign Affairs-Administrator,Upgrade-Minister of Foreign Affairs-Warehouse Manager,Upgrade-Minister of Foreign Affairs-Secretary,Upgrade-Minister of Foreign Affairs-Controller,Upgrade-Minister of Foreign Affairs-Judge,Upgrade-Minister of Foreign Affairs-Mistress of Ceremonies,Upgrade-Czar-Author,Upgrade-Czar-Administrator,Upgrade-Czar-Warehouse Manager,Upgrade-Czar-Secretary,Upgrade-Czar-Controller,Upgrade-Czar-Judge,Upgrade-Czar-Mistress of Ceremonies,Observatory-Worker Card,Observatory-Building Card,Observatory-Aristocrat Card,Observatory-Trading Card,Use the Pub-0,Use the Pub-1,Use the Pub-2,Use the Pub-3,Use the Pub-4,Use the Pub-5,Pass
1W,91,94,85,40,56,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,40,64,7,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1B,46,92,100,98,7,6,2,0,0,0,0,0,4,0,0,0,0,10,10,10,10,10,10,10,18,10,20,7,10,7,0,3,8,9,0,0,5,7,4,5,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,1,7,4,0,0,0,0,0,10,10
1A,52,10,10,30,7,7,1,0,0,1,2,0,7,89,59,2,9,51,83,87,72,41,32,9,7,10,10,22,25,9,8,4,55,32,15,41,27,7,1,0,0,9,0,7,0,9,41,41,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
1T,10,10,10,10,16,9,6,1,0,4,0,4,10,10,3,0,3,46,7,10,1,7,10,10,10,10,10,10,10,14,1,6,7,20,9,3,10,7,2,4,8,27,7,4,4,30,10,10,4,0,20,0,91,2,38,11,12,2,95,66,57,8,78,62,27,15,4,7,26,0,88,80,5,81,10,8,14,83,9,7,8,90,10,7,0,4,0,7,7,7,8,7,10,4,7,9,7,9,7,7,10,29,12,10,20,10,10,10,11,7,10,7,7,10,7,10,7,10,11,36,10,10,10,9,10,10,10,11,9,10,50,7,10,10,13,7,7,10,8,16,10,45,4,9,10,79,11,7,7,23,19,7,8,7,10,10,86,15,16,12,12,7,7,13,13,10,10,21,7,10,10,10,10,10,25,12,10,10,20,10,10,10,7,7,9,7,7,7,10,9,15,10,10,32,7,2,1,7,9,10,11,33,7,11,19,10,7,12,13,13,8,7,9,10,13,32,23,23,13,10,10,7,19,30,6,7,12,10,7,7,7,7,7,7,10,7,4,4,7,14,9,10,7,19,36,17,13,14,10,12,7,7,16,10,14,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2W,100,100,98,96,92,39,23,2,74,10,7,9,10,10,0,16,6,10,7,10,10,10,10,10,38,0,83,15,2,17,1,58,68,7,94,11,10,10,13,1,48,10,10,7,10,10,10,10,4,21,7,4,10,0,6,10,10,4,9,10,10,4,8,10,11,7,22,7,26,1,10,10,4,9,10,35,10,22,16,73,7,17,10,4,1,7,4,1,7,10,26,7,18,7,7,10,16,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,7,12,10,10,10,10,10,10,10,10,10,12,16,10,10,10,10,10,10,10,10,10,10,10,7,10,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,7,12,10,20,10,10,10,10,14,7,0,7,10,10,7,10,10,9,10,10,12,10,10,10,7,10,7,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,14,10,10,10,14,10,10,10,7,9,12,10,14,10,10,10,10,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2B,4,81,84,7,0,9,45,11,98,96,82,1,6,7,1,2,1,15,5,8,97,31,16,10,8,10,10,26,8,9,0,9,2,0,90,0,98,9,4,5,4,10,36,7,10,7,7,16,24,10,14,20,7,35,10,10,10,7,10,7,10,10,16,10,14,10,10,14,9,39,14,10,7,7,10,7,12,7,10,4,7,0,7,5,4,7,7,8,10,7,8,7,7,7,10,13,21,7,7,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,14,10,10,10,7,12,10,10,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,28,10,38,8,7,7,10,10,10,10,10,18,9,46,51,9,10,10,10,20,10,14,10,12,17,9,7,10,10,12,10,10,10,9,10,11,19,10,10,10,10,10,10,10,10,18,27,37,9,4,10,22,10,12,10,13,7,7,8,10,10,10,7,10,10,7,12,10,10,9,10,10,14,10,12,10,12,10,10,10,10,10,10,16,24,10,16,10,10,10,10,10,7,13,10,10,10,10,9,10,10,10,10,10,10,14,10,10,10,12,10,10,10,13,12,10,10,10,10,7,10,10,10,10,10,0,7,0,3,47,0,0,2,0,10,10
2A,94,10,9,21,46,14,87,5,14,10,10,10,10,35,60,2,13,86,96,99,19,16,10,10,7,10,10,10,10,9,30,34,6,9,10,85,7,7,9,5,100,40,99,50,14,80,51,94,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,7,10,12,10,31,10,7,9,8,12,10,10,10,11,10,10,7,10,10,10,16,7,7,10,10,10,10,14,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,9,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,12,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,40,29,12,9,10,10,10,9,7,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,14,10,10,10,10,10,16,10,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
2T,8,10,13,54,7,10,76,10,12,10,10,10,10,7,4,4,6,74,6,20,10,10,10,10,10,10,10,10,12,10,7,10,20,10,10,12,10,10,10,4,10,4,14,17,27,7,10,14,14,29,33,11,96,38,25,21,9,100,53,63,12,84,67,13,7,13,7,47,16,7,69,9,22,6,12,99,6,100,9,87,8,100,16,4,1,0,9,4,7,10,0,10,10,10,14,10,67,4,7,7,10,10,10,10,10,14,7,4,44,7,7,10,10,10,10,10,7,10,35,8,4,10,10,14,10,10,10,12,7,28,47,7,7,10,8,10,10,10,10,10,6,8,21,9,10,10,10,10,10,10,10,7,19,14,10,10,10,10,10,10,10,7,8,17,8,10,12,10,10,10,10,10,10,14,9,28,10,10,10,10,10,10,10,10,12,7,11,7,10,10,10,10,10,37,53,9,8,7,10,10,33,97,53,18,7,7,10,64,78,7,21,10,10,10,13,38,33,10,18,10,10,9,7,32,100,7,10,10,10,16,10,9,10,10,10,10,14,10,9,7,16,10,10,10,10,10,22,18,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3W,87,100,97,52,14,10,10,10,10,10,10,10,10,7,29,6,14,1,4,11,10,10,10,10,10,10,10,15,69,24,10,10,10,10,10,10,10,10,10,10,10,11,7,10,15,7,10,10,10,10,10,15,7,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,18,10,10,7,59,10,20,14,68,16,62,20,30,10,10,7,3,7,7,7,10,15,10,10,13,10,22,9,36,10,10,10,10,10,10,10,10,12,17,10,10,7,10,10,10,10,10,10,12,12,9,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10,10,61,7,10,10,10,10,10,10,10,10,10,7,10,12,10,10,10,10,10,10,10,10,19,7,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,18,10,10,10,10,10,10,34,10,10,7,7,10,10,7,10,10,10,14,10,10,10,12,22,10,10,7,10,10,14,7,10,10,10,10,12,12,10,14,14,7,10,10,10,10,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
3B,0,85,9,6,61,6,68,79,2,100,7,20,10,43,0,0,3,44,64,8,87,100,9,44,16,44,39,88,8,7,6,63,79,9,41,22,8,7,6,4,7,11,31,10,6,21,7,3,7,10,7,1,7,9,31,6,7,1,11,7,16,16,9,12,7,38,9,8,73,7,4,84,21,7,10,42,7,31,9,50,28,81,10,7,1,17,1,7,10,10,24,9,10,7,31,42,28,6,7,7,7,16,10,12,10,38,6,21,9,7,10,10,7,10,16,11,20,16,18,7,7,7,10,28,10,10,12,12,7,31,9,7,10,10,26,10,12,12,45,9,7,19,7,10,10,7,10,10,7,18,27,13,4,7,10,7,10,10,14,20,20,21,7,4,7,10,10,10,10,10,10,17,10,10,6,19,7,10,10,10,10,12,14,48,51,83,7,10,10,12,10,10,10,9,8,7,15,10,10,10,45,7,14,7,14,10,10,54,28,10,12,4,10,10,4,25,7,7,24,10,10,22,20,10,31,12,10,10,28,20,7,7,31,10,10,10,22,18,7,52,10,10,10,15,10,8,35,10,16,10,14,10,10,18,10,10,10,10,10,10,10,10,10,1,0,4,0,72,12,0,0,4,10,10
